athlete_id,year,meet_name,time,place,all_american
43457,2023,NCAA Division III Cross Country Championships,1524.2061,61.0,0
43457,2022,NCAA Division III Cross Country Championships,1574.1129999999998,130.0,0
72137,2022,NCAA Division III Cross Country Championships,1548.5058,58.0,0
49611,2023,NCAA Division III Cross Country Championships,1521.6057999999998,58.0,0
49611,2022,NCAA Division III Cross Country Championships,1569.211,110.0,0
22992,2021,NCAA Division III Cross Country Championships,1460.0,35.0,1
22993,2023,NCAA Division III Cross Country Championships,1566.9162000000001,162.0,0
22993,2022,NCAA Division III Cross Country Championships,1589.4178000000002,178.0,0
22993,2021,NCAA Division III Cross Country Championships,1607.2,285.0,0
88531,2023,NCAA Division III Cross Country Championships,1575.6191,191.0,0
22999,2022,NCAA Division III Cross Country Championships,1617.6235,235.0,0
22999,2021,NCAA Division III Cross Country Championships,1544.9,231.0,0
23003,2021,NCAA Division III Cross Country Championships,1540.5,221.0,0
23007,2021,NCAA Division III Cross Country Championships,1506.3,153.0,0
23012,2022,NCAA Division III Cross Country Championships,1683.6283999999998,284.0,0
27111,2022,NCAA Division III Cross Country Championships,1545.8054,54.0,0
27111,2021,NCAA Division III Cross Country Championships,1506.4,154.0,0
53736,2023,NCAA Division III Cross Country Championships,1546.8108,108.0,0
27114,2022,NCAA Division III Cross Country Championships,1586.6165999999998,166.0,0
27114,2021,NCAA Division III Cross Country Championships,1500.2,130.0,0
27116,2021,NCAA Division III Cross Country Championships,1507.8,159.0,0
43509,2023,NCAA Division III Cross Country Championships,1559.6147999999998,148.0,0
43509,2022,NCAA Division III Cross Country Championships,1555.7069000000001,69.0,0
43509,2021,NCAA Division III Cross Country Championships,1490.7,101.0,0
27125,2022,NCAA Division III Cross Country Championships,1636.4258,258.0,0
27125,2021,NCAA Division III Cross Country Championships,1536.0,207.0,0
43513,2022,NCAA Division III Cross Country Championships,1547.8056,56.0,0
43519,2023,NCAA Division III Cross Country Championships,1653.5284,284.0,0
43522,2023,NCAA Division III Cross Country Championships,1548.6115,115.0,0
43522,2022,NCAA Division III Cross Country Championships,1678.7281,281.0,0
53765,2021,NCAA Division III Cross Country Championships,1533.3,205.0,0
