Athlete ID,Meet Date,Meet Name,Race Distance,Time,Place
76414,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1538.9092,92
49095,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1540.5093,93
13799,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1540.5094,94
42738,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1541.3094999999998,95
50859,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1541.3096,96
50148,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1541.5097,97
69513,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1542.1098,98
50213,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1542.3099,99
13733,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1542.51,100
93098,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1543.6100999999999,101
56786,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1544.0102,102
5270,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1545.3102999999999,103
57100,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1546.2104,104
67914,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1546.2105000000001,105
73253,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1546.3106,106
68820,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1546.6107,107
53736,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1546.8108,108
58366,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1547.5109,109
90351,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1547.711,110
52297,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1548.0111,111
50610,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1548.2112,112
55639,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1548.3112999999998,113
53851,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1548.5114,114
43522,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1548.6115,115
16016,2023-11-18,NCAA Division III Cross Country Championships,Men's Race - 8K Individual Results (8k),1548.9116000000001,116
