Athlete ID,Year,Athlete Name,Athlete Class,School,Number of Races Run,Personal Record,Season Record,Consistency,Days since Season PR,All-American,Nationals Place,Nationals Time
66362,2025,Carston Cole,SR,Hope,6,1467.9017000000001,1511.704,6.789972723169731,35,0,95,1516.5095
67166,2025,Payne Ratliff,SR,Otterbein,7,1484.4033000000002,1490.2003,17.71404099668456,49,0,96,1516.5096
102922,2025,Rory Lieberman,JR,Lebanon Valley,6,1459.2003,1459.2003,45.50660507394328,56,0,97,1517.2097
76735,2025,Tyler Bolaske,JR,Keene State,5,1465.9017000000001,1465.9017000000001,11.004306444733327,35,0,98,1518.3098
79455,2025,Jacob Slater,JR,Case Western,4,1488.7004,1488.7004,13.813634338178037,63,0,99,1518.6099
124625,2025,Nico Castellanos,FR,Wis.-La Crosse,4,1460.9012,1460.9012,33.18505964892183,21,0,100,1518.91
69513,2025,Justin Cascio,SR,RPI,5,1473.2105000000001,1473.2105000000001,35.39080900546918,50,0,101,1519.1100999999999
92151,2025,Jonah Reisner,JR,Tufts,4,1452.2001,1452.2001,18.188597909181336,49,0,102,1520.0102
123672,2025,Evan Parker,FR,U. Of Chicago,5,1477.1009999999999,1477.1009999999999,14.880606808783075,7,0,103,1520.5103
77786,2025,Gavin Hefferan,JR,Moravian,6,1485.8006,1485.8006,25.27702673554784,7,0,104,1521.5104
108694,2025,Nathaniel Aronson,SO,Bates,5,1493.9016000000001,1493.9016000000001,27.850561085579525,21,0,105,1522.2105000000001
77923,2025,Liam Eifert,JR,U. Of Chicago,5,1466.8002999999999,1466.8002999999999,23.831936228817014,50,0,106,1522.4106000000002
75047,2025,Alexander Kermath,SR,Wesleyan,3,1491.3014,1497.5018,19.076480294039825,21,0,107,1522.8107
71888,2025,Jack Deaver,SR,St. Olaf,6,1489.4038,1489.4038,21.81860081150944,35,0,108,1523.3108
64828,2025,Derick Koen,SR,RIT,7,1482.2001,1482.2001,24.94874836871778,42,0,109,1524.1109
63333,2025,Rabbit Barnes,SR,Colorado College,6,1509.6032,1513.8002,24.96522865818688,21,0,110,1524.311
80970,2025,Camden Jaureguy,JR,Uc Santa Cruz,4,1470.6036,1470.6036,25.326422415730185,56,0,111,1524.5111
106956,2025,Alex Jordan,SO,Lynchburg,6,1455.2001,1455.2001,34.04199872314895,7,0,112,1524.6111999999998
89302,2025,London Haley,JR,Whitworth,7,1449.9009,1449.9009,26.474051842050056,35,0,113,1524.9113
98116,2025,Luke Munoz,SO,NYU,5,1523.1006,1523.1006,19.67090126309415,35,0,114,1525.1114
101788,2025,Sean Green,SO,Washington U.,6,1504.4141000000002,1504.4141000000002,10.244927270019987,57,0,115,1525.4115000000002
68500,2025,Amos Bixler,SR,Houghton,7,1498.3006,1498.3006,24.31600167318629,42,0,116,1526.6116
69793,2025,Amokrane Aouchiche,SR,Tufts,5,1470.6021999999998,1470.6021999999998,9.954040285713257,35,0,117,1526.7117
101991,2025,Malcolm Oakes,SO,Williams,7,1458.1009,1458.1009,33.54584369104466,35,0,118,1528.0118
122895,2025,Jorge Clemente-Garcia,FR,Pfeiffer,6,1507.1014,1507.1014,30.692649501545596,7,0,119,1528.9119
71901,2025,Caden Schneider,SR,Wis.-Platteville,5,1436.6005,1436.6005,46.197045535185474,21,0,120,1529.912
106953,2025,Logan Begeman,SO,Hope,5,1504.5001,1504.5001,3.5099659801200676,21,0,121,1530.2121
81116,2025,John Urciuoli,JR,Emory,5,1481.3006,1481.3006,24.80595006311186,7,0,122,1530.2122
101994,2025,Dylan Cote,SO,Wesleyan,4,1503.702,1503.702,5.633420654352856,21,0,123,1530.6123
97988,2025,Isaac Cohen,SO,U. Of Chicago,5,1509.6039999999998,1509.6039999999998,8.564148992772223,50,0,124,1530.9124000000002
68308,2025,Caden Hildenbrand,JR,George Fox,6,1452.0,1485.7035,22.810378467127595,35,0,125,1531.0125
71904,2025,Joshua Stone,SR,Wis.-Platteville,5,1497.7021,1497.7021,33.47271192554323,21,0,126,1531.2126
106709,2025,Cameron Miles,SO,Middlebury,6,1515.4080000000001,1515.4080000000001,51.156511918392766,35,0,127,1532.1127
95586,2025,Sam Su,SO,John Carroll,5,1510.0011,1510.0011,18.29542444771024,64,0,128,1532.3128
119058,2025,Cedar Nichols-Barnhart,FR,Johns Hopkins,4,1471.0023,1471.0023,22.241442845114626,35,0,129,1533.0129
94541,2025,Jerry Xu,SO,Claremont-Mudd-Scripps,6,1484.6093999999998,1504.3002999999999,24.045738528941513,77,0,130,1533.513
82199,2025,Nathan Caldwell,JR,Dickinson,8,1495.0013,1495.0013,17.283051690239787,21,0,131,1533.7131
66439,2025,Aidan Armstrong,SR,North Central (Ill.),5,1514.9007000000001,1514.9007000000001,9.14629995725044,21,0,132,1533.9132000000002
71884,2025,Eli Doran,SR,St. Olaf,6,1532.6064,1540.2102,9.104080514450642,35,0,133,1534.2133000000001
123596,2025,Dylan Fiegener,FR,MIT,5,1500.8011999999999,1500.8011999999999,22.758203782636304,7,0,134,1534.4134000000001
69799,2025,Calvin Cummings,SR,Tufts,5,1475.8007,1475.8007,20.72336964868404,21,0,135,1534.5135
94900,2025,Luke Knestout,SO,Dickinson,8,1502.9058,1502.9058,15.308578418406485,35,0,136,1535.0136
65112,2025,Zachary Benner,SR,Oglethorpe,6,1469.9004,1469.9004,41.24607985671367,50,0,137,1535.5137
76521,2025,Thomas Franklin,JR,Washington And Lee,5,1508.3055,1511.8015,26.817853267881045,7,0,138,1536.5138
62893,2025,Joseph Chukoskie,SR,Lebanon Valley,6,1507.1019999999999,1507.1019999999999,30.058793879592574,56,0,139,1537.2139
88531,2025,Benjamin Hughes,JR,Middlebury,6,1469.1019,1469.1019,34.144689734227576,35,0,140,1537.514
105623,2025,Max Voss,SO,Wis.-Platteville,5,1486.8018,1486.8018,50.61498119983851,21,0,141,1537.5141
69840,2025,Jacob Cobb,SR,MIT,5,1483.5007,1483.5007,29.478527073217197,7,0,142,1537.9142000000002
77913,2025,Noah Bender,JR,U. Of Chicago,4,1472.0004,1502.3027,14.85234101185738,50,0,143,1538.6143
100371,2025,William Dunaway,SO,Washington And Lee,5,1492.7012,1492.7012,28.022432745124075,7,0,144,1538.7144
85724,2025,Noah Mahoney,JR,Wesleyan,5,1486.9035000000001,1486.9035000000001,14.290267798487818,35,0,145,1539.0145
62098,2025,Louka Fetter,SR,Messiah,7,1478.7015000000001,1499.5008,22.04198976738614,35,0,146,1539.3146
80223,2025,Adam Kollgaard,JR,Carnegie Mellon,6,1484.701,1484.701,18.994745733554858,71,0,147,1539.3147
86392,2025,Cole Stencel,JR,St. John'S (Minn.),6,1526.5004,1526.5004,17.61791456637252,21,0,148,1539.7148
112019,2025,Simon Lane,FR,Haverford,6,1471.1003999999998,1471.1003999999998,40.70951826394534,21,0,149,1539.8148999999999
62358,2025,Hale Behan,SR,Claremont-Mudd-Scripps,6,1495.0065,1495.0065,21.158777148771865,56,0,150,1540.2150000000001
