Athlete ID,Year,Athlete Name,Athlete Class,School,Number of Races Run,Personal Record,Season Record,Consistency,Days since Season PR,All-American
5130,2021,Henry Pick,GR,Claremont-Mudd-Scripps,5,1464.7,1464.7,29.092170768094967,21,0
5141,2021,Evan Hassman,GR,Claremont-Mudd-Scripps,5,1532.1,1532.1,5.376616036132801,21,0
5208,2021,Ethan Widlansky,GR,Pomona-Pitzer,5,1450.0,1450.0,19.72598286524655,63,0
5212,2021,Gabriel Pommier,GR,North Central (Ill.),5,1472.7,1472.7,14.40668247723949,35,0
5218,2021,Dante Paszkeicz,GR,Pomona-Pitzer,4,1473.7,1473.7,20.943614778733867,35,0
5220,2021,Jacob Ridderhoff,GR,Washington U.,4,1477.3,1477.3,37.63856898183036,49,0
5221,2021,Dalton Martin,GR,Wartburg,4,1478.1,1478.1,42.099643703955515,35,0
5225,2021,Connor Dolan,GR,Wis.-Eau Claire,6,1492.9,1492.9,25.957893254696568,7,0
5229,2021,Cody Chadwick,GR,Wis.-Oshkosh,3,1489.0,1502.7,26.999753085290756,7,0
5230,2021,Sam Pinkowski,GR,Wartburg,5,1472.0,1472.0,22.934306180915925,35,0
5231,2021,Cy Chittenden,GR,U. Of Chicago,6,1495.6,1495.6,39.67233796992561,7,0
5235,2021,Patrick Norrick,GR,Washington U.,5,1482.3,1482.3,54.71560654877183,35,0
5236,2021,Charlie Nevins,GR,U. Of Chicago,6,1517.3,1517.3,26.067374244445915,7,0
5237,2021,Tyler Osen,GR,Wis.-Eau Claire,5,1496.0,1496.0,22.943548112704804,7,0
5243,2021,Kyle Bell,GR,North Central (Ill.),4,1495.0,1502.3,24.405378505567224,7,0
5246,2021,Jack Rosencrans,GR,Pomona-Pitzer,4,1479.1,1479.1,17.90773226849233,35,0
5247,2021,Ryan Vreeke,GR,Calvin,3,1470.0,1519.9,6.164594246357319,7,0
5259,2021,Andrew Rathkamp,GR,Wis.-Oshkosh,4,1552.0,1571.4,45.14146514015685,7,0
5266,2021,Sam Craig,GR,Wisconsin,6,1469.4,1469.4,42.96540934286556,35,0
5268,2021,Julian Higueros,GR,North Central (Ill.),4,1484.3,1484.3,15.410602410894494,35,0
5269,2021,Connor Riss,GR,North Central (Ill.),4,1493.3,1493.3,27.435777280769724,7,0
5275,2021,Max Hill,GR,U. Of Chicago,6,1522.7,1522.7,52.36436192679139,7,0
5279,2021,Brandan Knepper,GR,Calvin,5,1482.6,1482.6,22.511916844196122,35,0
5282,2021,Nicholas Hoffman,GR,Hope,4,1487.5,1487.5,25.74503592928158,7,0
5291,2021,Steven Potter,GR,Wis.-Oshkosh,5,1503.3,1503.3,38.886223781694206,7,0
5294,2021,Brett Haffner,GR,Wis.-Eau Claire,6,1511.7,1511.7,61.24347584300984,7,0
5295,2021,Zach Yengo,GR,Wis.-Eau Claire,4,1533.0,1544.9,26.977027263951808,7,0
5302,2021,Andrew George,GR,Wis.-Oshkosh,5,1503.5,1503.5,48.10272341562377,7,0
5307,2021,Jeff Candell,GR,Washington U.,5,1509.5,1509.5,29.88065594996201,49,0
5317,2021,Mitchell Bradford,GR,Wis.-Oshkosh,5,1501.5,1501.5,43.074010725726495,7,0
5322,2021,Matt Kusak,GR,Washington U.,5,1496.8,1496.8,32.65048851089367,7,0
5329,2021,William Hofmann,GR,Calvin,4,1544.5,1544.5,29.6977271857629,22,0
5344,2021,Jackson Wichtendahl,GR,Wis.-Eau Claire,7,1549.1,1549.1,32.94812420895747,7,0
5355,2021,Michael Gille,GR,Augustana (Ill.),5,1494.9,1494.9,7.228443815926056,7,0
5371,2021,Joseph Kehoe,GR,Wis.-Oshkosh,5,1535.0,1535.0,28.312004521050802,7,0
5386,2021,Jake Petri,GR,Wis.-Eau Claire,6,1546.4,1546.4,23.822794872884984,36,0
5406,2021,Jason Ford,GR,Wis.-Oshkosh,5,1554.3,1554.3,47.29718807709397,7,0
